Date Bought	Amount Bought (BTC)	Total BTC Holdings
15/11/2021	0.00361734	0.00361734
04/12/2021	0.00136405	0.00498138
05/01/2022	0.00209107	0.00707245
03/02/2022	0.00272717	0.00979962
02/03/2022	0.00228075	0.01208037
04/04/2022	0.00235400	0.01443437
05/05/2022	0.00262582	0.01739528
03/06/2022	0.00338308	0.02078092
05/07/2022	0.00481237	0.02559329
05/08/2022	0.00406258	0.02965587
09/09/2022	0.00443611	0.03409867
10/10/2022	0.00446955	0.03857495
02/11/2022	0.00424943	0.04282438
07/12/2022	0.00538740	0.04821907
11/01/2022	0.00527394	0.05349302
N/a	0.00000000	0.05349302
10/03/2023	0.00847980	0.06197678
N/a	0.00000000	0.06197678
N/a	0.00000000	0.06197678
06/06/2023	0.00939691	0.07138009
N/a	0.00000000	0.07138009
17/08/2023	0.00578617	0.07717337
12/09/2023	0.00312554	0.08030328
N/a	0.00000000	0.08030328
N/a	0.00000000	0.08030328
13/12/2023	0.00606528	0.08637093
19/01/2024	0.00198700	0.08836329
15/02/2024	0.00291496	0.09127825
15/03/2024	0.00237698	0.09365523
15/04/2024	0.00252379	0.09617902
15/05/2024	0.00250773	0.09868675
15/06/2024	0.00244615	0.10113290
15/07/2024	0.00262110	0.10375400
15/08/2024	0.00280010	0.10655410
30/09/2024	0.00240277	0.09572687
15/10/2024	0.00231302	0.09803989
15/11/2024	0.00166362	0.09946440
15/12/2024	0.00146100	0.09946440
15/01/2025	0.00145274	0.10237814
15/02/2025	0.00147154	0.10384968
18/03/2025	0.00175596	0.10560564
N/a	0.00000000	0.10560564
14/05/2025	0.00282588	0.10843152
N/a	0.00000000	0.10843152
21/07/2025	0.00264517	0.11107669
