Date	Contribution per Investor (ZAR)	Investor Count	Amount invested Monthly (ZAR)	Capital Invested (ZAR)	Amount Invested per Investor (ZAR)	Amount of BTC Bought "Monthly" (BTC)	BTC Holdings (BTC)	Monthly Close (ZAR)	Portfolio Market Closing Value (ZAR)
31/10/2021	200.00	8.00	1,600.00	1,600.00	200.00	0.000000000	0.000000000	931,841.30	1,600.00
01/11/2021	200.00	8.00	1,600.00	3,200.00	400.00	0.003617340	0.003617340	903,375.54	3,267.82
01/12/2021	200.00	8.00	1,600.00	4,800.00	600.00	0.001364050	0.004981380	736,189.52	3,667.24
01/01/2022	200.00	8.00	1,600.00	6,400.00	800.00	0.002091070	0.007072450	590,581.70	4,176.86
01/02/2022	200.00	8.00	1,600.00	8,000.00	1,000.00	0.002727170	0.009799620	661,996.82	6,487.32
01/03/2022	200.00	8.00	1,600.00	9,600.00	1,200.00	0.002280750	0.012080370	664,404.50	8,026.25
01/04/2022	200.00	8.00	1,600.00	11,200.00	1,400.00	0.002354000	0.014434370	582,678.85	8,410.60
01/05/2022	200.00	8.00	1,600.00	12,800.00	1,600.00	0.002625820	0.017395280	495,513.80	8,619.60
01/06/2022	200.00	8.00	1,600.00	14,400.00	1,800.00	0.003383080	0.020780920	323,702.83	6,726.84
01/07/2022	200.00	8.00	1,600.00	16,000.00	2,000.00	0.004812370	0.025593290	387,041.23	9,905.66
01/08/2022	200.00	8.00	1,600.00	17,600.00	2,200.00	0.004062580	0.029655870	342,948.86	10,170.45
01/09/2022	200.00	8.00	1,600.00	19,200.00	2,400.00	0.004436110	0.034098670	351,079.66	11,971.35
01/10/2022	200.00	8.00	1,600.00	20,800.00	2,600.00	0.004469550	0.038574950	375,061.86	14,467.99
01/11/2022	200.00	8.00	1,600.00	22,400.00	2,800.00	0.004249430	0.042824380	293,653.27	12,575.52
01/12/2022	200.00	8.00	1,600.00	24,000.00	3,000.00	0.005387400	0.048219070	281,127.15	13,555.69
01/01/2023	200.00	8.00	1,600.00	25,600.00	3,200.00	0.005273940	0.053493020	402,709.49	21,542.15
01/02/2023	200.00	8.00	1,600.00	27,200.00	3,400.00	0.000000000	0.053493020	423,625.13	22,660.99
01/03/2023	200.00	8.00	1,600.00	28,800.00	3,600.00	0.008479800	0.061976780	506,241.02	31,375.19
01/04/2023	200.00	8.00	1,600.00	30,400.00	3,800.00	0.000000000	0.061976780	534,788.35	33,144.46
01/05/2023	200.00	8.00	1,600.00	32,000.00	4,000.00	0.000000000	0.061976780	536,061.29	33,223.35
01/06/2023	200.00	8.00	1,600.00	33,600.00	4,200.00	0.009396910	0.071380090	573,356.47	40,926.24
01/07/2023	200.00	8.00	1,600.00	35,200.00	4,400.00	0.000000000	0.071380090	522,159.08	37,271.76
01/08/2023	200.00	8.00	1,600.00	36,800.00	4,600.00	0.005786170	0.077173370	488,403.62	37,691.75
01/09/2023	200.00	8.00	1,600.00	38,400.00	4,800.00	0.003125540	0.080303280	509,931.52	40,949.17
01/10/2023	200.00	8.00	1,600.00	40,000.00	5,000.00	0.000000000	0.080303280	645,320.87	51,821.38
01/11/2023	200.00	8.00	1,600.00	41,600.00	5,200.00	0.000000000	0.080303280	710,662.26	57,068.51
01/12/2023	300.00	8.00	2,400.00	44,000.00	5,500.00	0.006065280	0.086370930	772,646.41	66,734.19
01/01/2024	300.00	8.00	2,400.00	46,400.00	5,800.00	0.001987000	0.088363290	792,604.82	70,037.17
01/02/2024	400.00	8.00	3,200.00	49,600.00	6,200.00	0.002914960	0.091278250	1,181,128.42	107,811.34
01/03/2024	400.00	8.00	3,200.00	52,800.00	6,600.00	0.002376980	0.093655230	1,344,669.95	125,935.37
01/04/2024	400.00	8.00	3,200.00	56,000.00	7,000.00	0.002523790	0.096179020	1,140,800.56	109,721.08
01/05/2024	400.00	8.00	3,200.00	59,200.00	7,400.00	0.002507730	0.098686750	1,287,787.83	127,087.60
01/06/2024	400.00	8.00	3,200.00	62,400.00	7,800.00	0.002446150	0.101132900	1,097,989.24	111,042.84
01/07/2024	400.00	8.00	3,200.00	65,600.00	8,200.00	0.002621100	0.103754000	1,202,938.47	124,809.68
01/08/2024	400.00	8.00	3,200.00	68,800.00	8,600.00	0.002800100	0.106554100	1,055,650.24	112,483.86
01/09/2024	400.00	7.00	2,800.00	71,600.00	10,228.57	0.002402770	0.095726870	1,115,359.62	106,769.89
01/10/2024	400.00	7.00	2,800.00	74,400.00	10,628.57	0.002313020	0.098039890	1,272,649.82	124,770.45
01/11/2024	400.00	7.00	2,800.00	77,200.00	11,028.57	0.001663620	0.099464400	1,745,313.47	173,596.56
01/12/2024	400.00	7.00	2,800.00	80,000.00	11,428.57	0.001461000	0.099464400	1,745,761.32	173,641.10
01/01/2025	400.00	7.00	2,800.00	82,800.00	11,828.57	0.001452740	0.102378140	1,940,377.77	198,652.27
01/02/2025	400.00	7.00	2,800.00	85,600.00	12,228.57	0.001471540	0.103849680	1,501,900.01	155,971.84
01/03/2025	400.00	7.00	2,800.00	88,400.00	12,628.57	0.001755960	0.105605640	1,493,218.01	157,692.24
01/04/2025	400.00	7.00	2,800.00	91,200.00	13,028.57	0.000000000	0.105605640	1,761,980.44	186,075.07
01/05/2025	400.00	7.00	2,800.00	94,000.00	13,428.57	0.002825880	0.108431520	1,865,003.29	202,225.14
01/06/2025	400.00	7.00	2,800.00	96,800.00	13,828.57	0.000000000	0.108431520	1,920,697.99	208,264.20
01/07/2025	400.00	7.00	2,800.00	99,600.00	14,228.57	0.002645170	0.111076690	2,109,480.45	234,314.11
